balti,english
khil ba,pool of liquid water
khil sa,waterpool
khil takh,back of neck
khish khish,difficult
khish khish,uneasy
khish khish,bad
khish ltsang ma,to hinder
khish ltsang ma,to prevent
khish ltsang ma,to make things difficult
khu ti,their own
khu dang,those people
khu dang,my husband
khu dang khwang,those people themselves
khu yu,tread
khu yu,thresh
khu yu,tremple rick with cattle
khu  yu shor ba,to thresh harvested crop
khu ra,should i lift
khu ri,his own
khu ri khwang,he himself
khu re gwa,to take away
khu re khyung ma,to bring having loaded
khu re ong ma,to bring
khu re ong ma,to obtain
khu ru,small room
khu ru,small house
khu ru,separate room
khutu,small house
khutu,separate room
khu ruk,hand bag
khu ruk,purse
khuluk,hand bag
khuluk,purse
khuk,lean
khuk,bend
khuk,twist
khuk,grip
khuk khan,one who brings under control
khuk khan,to make one agree
khuk pha,to grasp
khuk pha,admit
khuk pha,to come in hand
khun ti,theirs
khun ti kha,on them
khun khan,one who groans
khun khan ba,to groan
khun dang,they
khun dang si,by those poeple
khun,groan
khun,moan
khun pa,to groan
khum,crease
khum,wrinkles in clothes
khum pha,to shrink
khum pha,to contract
khum pha,to blight
khum sa,hide out
khum sa,place to sit squeezed
khum kham,creased
khum kham,wrinkled
khums,squeezed
khums,blighted
khur,load
khur,loan
khur,reponsible
khur,lift
khur pa,load lifter
khur pa,quli
khur ba,to lift
khur ba,bear
khur ba,fruit
khur ba,to conceive
khur baa,bread
khush,whisper
khush khash,conspiracy
khush khash,spread rumour
khush khash bya,whispering
khush khash bya,backbiting
khut,small
khut,short
khut bya,to summarise
khe,respect
khe,value
khe chan,valuable
khe chan,respectfull
khe med,valueless
khe med,contemptible
khe med,disgrace
kheng thal ba,may your words have no effect
khed,equipoise
khed,care
khed,formality
khed,effect
khed pa,to equipoise
khed pa,to get equally
khed pa,cover all aspects
khed med,frankness
khed med,to show intimacy
khen ma,running loop for belt
khen ma,string
kheb,feeling
kheb,influence
kheb med,in effective
kheb med,callous
kheb med,insensitive
khebs,light stole that is draped over head and torso
khebs,dupatta
kher,take away
kher,pick
kher ba,to take away
kher ba,to pick and carry away
kho,he
kho ngan,malice
kho ngan,grudge
kho ngan,spite
kho ni,due to stubborness and hostility
kho ma,to have relief
kho ma,to get freedom
kho tsa,only him
kho tsa,he alone
kho re,turning
kho re,encircling
kho re,surrounding
kho re gwa,to go turning
kho re gwa,to go arround
kho la,for him
kho sang,that person also
kho sang,he also
kho si,he
kho si,by him
khog,cough
khoq,cough
khoq pa,to cough
khoq pa,to clear throat
khog bgyal,severe fit of cough
khog jur,fear of cough
khog jur,complain of cough
khong,they
khongi,their
khong ing nu,in them
khong i kha,on them
khong khundang,themselves
khon,hostility
khon,malice
khon,stubborn
khon chan,adversary
khon chan,foe
khon chan,stubborness
khom loh,sincere
khom loh,salvation
khom lu si lam,way to salvation
khoms,give oneself airs
khoms,freedom
khor,circle
khor,sector
khor,limits
khor,primises
khor khar,environment
khor khar,surrounding
khor khar,society
khor khan,worker
khor khan,servent
khor khan,helper
khor pa,guard
khor pa,sympathizer
khor pa da pa,archer
khor pa da pa,armed guard
khor ba,stroll
khor ba,move about
khor ba,walk
khor ba,sight seeing
khor ba,win competition
khol ba,to boil
khol ba,to fall
khol chuk pa,to let boil
khos,used
khos,demand
khos,importance
khos pa,be of use
khos pa,have need of
khos pa med,to be of no use
khot,stop
khot,stay
khot,stay put
khokh,cough
khokh skad,coughing
khokh nad,suffer from cough
khoq,skelton of men and animals
khoq khol,grief
khoq khol,worry
khoq khol,hurt
khoq khol,sad
khoq ngan,false hearted
khoq ngan,jealousy
khoq ngan,vexation
khoq ching,to choke
khoq pa,courage
khoq pa,generosity
khoq pa,nature
khoq pa,to cough
khoq pa phu chan,courageous
khoq pa phu chan,bountifull
khoq pa chhogho,generous
khoq pa chhogho,beneficent
khoq pa khlud pa,be touched
khoq pa khlud pa,worried
khoq pa khlud pa,be sad
khoq pa lcho,indisposed
khoq pa lcho,bad intention
khoq pa yang ma,cheerfull
khoq pa yang mo,good at heart
khoq pa yang mo,light hearted
khoq ping juk pha,to come to an understanding
khoq ping juk pha,have firm or strong intention
khoq rul,rotten habits
khoq rul,third rate
khoq luh,nature
khoq luh,disposition
khoq lyakh,good natured
khoq lyakh,humane
khoq shakh,justice
khoq shakh,being just
khoqs,coughed
khyaq zer,shiver due to cold
khyang sha,to shiver due to fever
khyang sha,shudder
khyu,water channel
khyut,dare
khyut pa,to dare
khyut pa med,do not dare
khyong,bring
khyong kher,barter trade
khynog kher,business
khyong na re,if he goes and brings
khyong ma,to bring
khyong ma,to go and bring
khyong sa,has he brought
khyong se,after bringing
khyong se,having brought after marriage
khyong se da,did he bring
khyong se da,has brought
khyong su ga,surely has he brought
khyongs,brought
khyot,courage
khyot,strength
khyot,dare
khyot chan,courageous
khyot chan,powerful
khyot chan,dare devil
khyot chan,brave
khyot med,cowardly
khyot med,timid
khyot med,weak
khyot med,courageless
khyor ba,crooked
khyor ba,stagger
khyor ba,to bend
khyor ba,to bend on side
khyor pha,turned
khyor pha,bent
khra,hawk
khra khur ba,bearer of hawk
khra go,tip of bow where string is attached
khra chhan mo,falcon
khra mik,beautiful eyes
khra mik,sharp eyes
khra tsokh,fast like hawk
khra zun pa,one who catches falcons
khra rzi,falconer
khra rzi,an employee in charge of falcon
khra ling,hunting with with falcons
khrag,blood
khraq,blood
khrag chan,bloody
khrag chhag pa,stoppage of menses
khrag thung,blood sucker
khrag thung bu,leech
khrag zag pa,menses
khrag zde,revenge of blood
khrag zde,bloodmoney
khrag shor,solidification
khrang,power
khrang,agility
khrat,dwarf
khrad pa,to sit with a streached feet
khrab,armour
khrab zuk pa,stab
khrab zuk pa,pierce
khram,cleverness
khram,alertness
khram kha,notch
khram kha,jagged
khram pa,liar
khram po,clever
khram po,alert
khrakh pa,to be skilful
khrakh pa,experienced
khrakh pa,knead flour
khrakh pa,set to work
khraq,blood
khraq,murder
khraq,blood relation
khraq khroq,complicated
khraq tri,smell of blood
khraq chik,blood relation
khraq tang ma,dysentry
khraq drul,blood shed
khraq brot,taste of blood
khraq brot,fondess of blood
khraq men doq,tulip
khraq rzes,sign of blood
khraq rin,blood money
khraq lhuk pa,to shed blood
khraq lhuk pa,to murder
khri,ten thousand
khri,chair
khri,wooden bed
khri,sleeping platform
khri pa,chairman
khri shing,wood used in roof
khri sa,entangled
khri se da,did it entangle
khri sed,has entangled
khri su ga,has it entangled
khrim,streaming of milk from udder
khrim,tradition
khrim chhing mo,name of a desert bush
khrim tang khan,judge
khrim tang khan,chief justice
khrim theb,untraditional
khrim si,as per tradition
khrim si,as usual
khrims,correct
khrims,authentic
khrims,legal
khrims,right
khrims,straight
khril,quarrel
khril,fight
khril,file case
khril,hold
khril ba,to quarrel
khril ba,to fight
khril ba,to file case
khril ba,to hold
khris,hinder
khris,peace
khris pa,to entangle
khris pa,to face hindrance
khris pa chan,entanglement
khru,hand measure
khru khan,washerman
khru khan,one who gives bath to corpse
khru chhu,remains of wash mixed with flour given to cattle
khru tho,hand measure
khru wa,to clean
khru wa,wash
khru wa,waste
khru wa,undo
khruse khyong pha,to leave after washing
khruse khyong pha,to undo good work
khruk,conspiracy
khruk,rebellion
khruk pa,conspirator
khruk pa,rebellious
khruk zgaq pa,to conspire
khruk zgaq pa,to rebell
khrung khrung,geron
khrun,height
khrun,length
khrum pa,eating b low people
khrus,wash
khrus,take bath
khrus,diarrhoea
khrus stan,diaper
khrus stan,nappy
khrus stan,pempper
khrus pa,to wash
khrus phe,flour of washed
khre led,feel ashamed
khre la da,are you ashamed
khren,influence of an evil spirit
khren,hindrance
khren,wickedness
khrel,modesty
khrel,dignity
khrel skying,disgraced
khrel chan,shy
khrel chan,having self respect
khrel chan,guard of honour
khrel chug pa,to make ashame
khrel ba,be ashamed
khrel ba,sense of shame
khrel ba chan,shameful
khrel ba chan,disgraceful
khrel ba med,not ashamed
khrel med,shameless
khrel med,immodest
khrel med,cuckold
khrel sa,are you ashamed
khrel yod,exquisite
khrel yod pa,chastity
khrel yod pa,decent
khrel yod pa,chaste
khrels,felt ashamed
khro,shout to drive cattle
khro khra,flying insect with long body and wings
khro sed,being offended
khro se da,are you being offended
khro so ga,will you be offended
khrong khrong,crane
khrong po,miser
khrong po,closed fist
khrod pa,crowd
khrod pa,group of people
khrod pa,gathering 
khron,claws of hunting bird or beast
khron,snake venom
khron pa,well
khron pa,water
khron pa,spring
khrom,bazar
khrom,market
khrom,street
khrom me,shine
khrom me,glitter
khrom me,shine like fire flames
khrol,hypocrisy
khrol cha,about to open
khrol chha,to forgive
khrol chha,to pardon
khrol po,glittering of lake
khrol ba,to open
khrol ba,released
khros,take offense
khros,offended
khros pa chan,offender
khros pa chan,huffy
khroq,internal organs
khroq,filling
khroq pha,be exhausted
khroq pha,fall in bits and pieces
khroq pha,to be very tired
khwa,to work
khwa,need
khwa,useful serviceable
khwa ta,crow
phoroq bya roq,crow
khva med,not needed
khva med,not current
khva med,unuseful
khwang,he himself
khwang,way of calling hasband by women
khwe,of that person
khwe,his
khwa shida,with him
kha,anger
kha khril,to quarrel in anger
kha chan,iracible
kha chan,touchy
kha phyung,vent one's spleen
kha phyung,to take revenge
kha but bya,vent one's rage
kha but bya,be fulfilled
kha mang,very angry
kha ra,tree with tough and heavy trunk
kha loq,become extreemly angry
kha sho,roasted fat
kha so,enraged
kha khmit pa,suppress one's anger
kha khmit pa,forbearance
kha khmit pa,to show patience
khchud,cleverness
khchud tang ma,to yawn and stretch the arms
khtub ba,to cut
khtub ba,gnaw
khan qah,place of worship
khnam,sky
khnam rdi ba,sky to brust
khpung kol ba,to encounter
khpung kol ba,to use one's shoulder
khpung zom bya,to act unitedly
khpung zom bya,having shoulder to shoulder contact
khpo,to snub by headman
khpuh ma stad pa,offer cooperation
khmul,rupee
khmul,silver coin
khmul chhu,sweat
kha zana,treasury
khar khar,rough
khar khar,uneven
khal,fast taste
khal,hot
khal khal,very sweet
khal khul,unpredictable weather
khal khul,age of puberty
khal,less
khal,mole
khla,musk deer
khla phlu,the young of deer
khlat khyur,mad
khlat khyur,rude
khlat pa,be tired
khlat pa,brain
khlat pa,fatigued
khlat ghzer,mirgraine
khlat pa za,to bother one with a great deal
khlat pa za,to disturb
khlab,guest of wind
khlab,threat
khlar,fever due to height
khlas,temporary shelter for cattles in jungle
khlas,temporary shelter for cattles in mountains
khlas pa,one who milks animals in pastures land
khlas spis,a thin layer  covering brain
khlang,bull
khlang,vapour
khlang chaq,stick with which bullock in a plough are driven
khlang dor,pair of bullock
khlang pho cho,elephant
khlang bu,calf
khlang spa,steam
khlang mar,oil from an oil press
khlang lo,year of bull
khlan,moisture
khlan,dampness
khlan,wetness
khlan ma,to paste
khlan ma,to hit
khlan la,to remunerate
khli ba,to deceive
khlu,song
khlu,song
khlu,song
klu,lyrics
khlud sha,boil
khlud sha,ulcer
khlu wa,lungs
khshil gwa,to surn badly
khshil gwa,scorched
khsal pho,cleaneed
khsal pho,picked
khling,transparent
khling,shining
khling bu,fife
khling bu,flute
khling khling,glittering
khling khling,shining
khya chad pa,clean
khya chad pa,rub
khil,a thin layer of bodys skin
khil khil,very thin
khude phi la,for God sake
khul,bud
khul,young shoot
khul khul,dish prepared of roasted flour of barley
khlung skor,whirlwind
khlung skor,fan
khlung kher ba,blast of wind
khlung chan,windy
khlung chan,a windy place
khlung traq,strong wind
khlung traq,wind storm
khlung po,wind storm
khlung thung,sparrow hawk
khlung thung,stray
khlung drul ba,blowing of wind
khlung drul ba,to fart
khlung po,wind storm
khlung phaq,cover from wind
khlung tshhqa,to find wind direction before hint
khlung shoq,amulet for change of weather
khlu wa phu,to out rage suddenly
khlu wa chan,testy
khlut pa,to swell
khlut pa,to burst
khlu tang ma, to sing a song
khlur,feeling of rivalry
khlur khlar,anger
khlu tshhir,to sing lyrics
khlu shwa,boils
khluk pa,to pour
khluk pa,dump
khlu gen,while pouring
khlung,air
khlung flatulence
khlung bjes,climate to change
khlo,narrow
khlo,strings of a saddle
khlo,hole of a commode
khlo phsus,attached strings of a saddle with which girth is tied
khlo zer,hole in wall or roof
khlom chhin,lungs
khlon,paste
khlon,hit
khlong chas,items to be roasted
khash,love
khash,affection
khash,fondness
khash chan,affectionate
khash chan,lover
khsone duk pa,to be alive
khvang,hissing sound of a bull in rage
kho,bitter
kho,bitterness
kho star,a sweet
kho star,with a little bitterness
kho kho ro,a larva
kho ros,a pleasant smelling moutainous bush
kho ros,a pleasant smelling mountainous bush
kho sor,pumpkin
kho sor,bottle gourd
khong,hole
khong,burrow
khong bu,deep
khong bu,profound
khop,burnt to ashes
khom bu zer ba,eloquence
khor,residents of Mangol
khor goq,animals with wounded back
khor rta,Mangol horse
khor phru,Mangol child
khor yul,Mangolia
khor chin,leather bag for carrying provious of journey
khos khos,crumble
khos khos,scale
khos khos chad pa,to beat thoroughly
khosh mash,a wild veg with yellow flowers
ga,where
ga chi,anything
ga na,where
ga na,whence
ga pur,camphor
ga ba,to lean over
ga ba ri,whence
ga ba ri,from where
ga bzoi kha,in some way
ga bzoi kha,some how
ga ma,chuk into mouth from palm of the hand
ga re,where is it
gari,where is it
ga re re,individualy
ga re re,every one
ga sha,in excess
ga sha,enough
ga hal,fostered big ibex
ga su,anyone
gang,frozen water
gang,full
gang,ice
gang ma,fill up
gang ma,brimful
gang ma,paid off
gang ma,all
gang chaq,tilling forzen land in advance for cultivation
gang chhaq,increase and decrease of moon
gang chhaq pa,breaking of glacier
gang chhaq pa,to freeze du eto severe cold
gang jing,glacier
gang tshho,icy frozen lake
gang ri,icy mountain
gang ri,mountain covered by ice
gang se bwa,overflowing 
gang se bwa,brimfull
gang ghbos,freezing
gangs,filled
gangs,paid
gangs,paid off
gan das,poor
gan dalu,a species of damson
gand gon,old clothing
gab khor,lower area
gab tu,below
gab bha,mattress
gab bha,thick
gab bha,thick padded bedding
gab bha,woolen bedding
gab tsa,down
gab tsa re,little below
gab tsa re,towards lower side
gabs,enclose
gam ba,under
gam ba,lower
gam bo ri,on the lower path
gam phe,small quality of roasted flour for chuking
gar gar,obstinate
gar gar,headstrong
gar gar,careless
gar gar,shameless
gar gi,bone of the neck
gar go,worry
gar go,condition of perturbation
gar gwed,where do you go
gar thons,where have you reached
gar na,from where
gar pa,where from
gar phoq,bad aim
gar phoq,stry aim
gar phoq,to walk inebriated
gar phoq,stagger
gar ba,blacksmith
gar bu,male calf
gar tsa,how far
gar tshhod zer ba,delirium talk
gar shor,where did he run
gar su la,to whome so ever
gar su la,to everyone
gal gal,a large quantity
gal gal,many
gal gol,very tired
gal gol,fatigue
gal gol,lassitude
gal hltos,scorpion
gal tos,centipede
gal ba,to tire
gal ba,to slack
glas,wild cherry
gashak,walking stick
gash gash,stubborn
gash gash,obstinate
gash gash,firm
gasa,snow leopard
basa,snow leopard
gat,knot
gat,joint
gat,knob
gat khrol ba,unite a knot
gat khrol ba,untying knot
gat khrol ba,settle a case
gat jukh pha,become knotted
gat jukh pha,to wrangle
gat jukh pha,develop a dislike
gat tang ma,tie a knot
gat tang ma,join togather
gal thang,skein
gat thang,many joints
gat thang,complexed
gathhu,rotten clothes
gathhu,rages
gakh pa,catching coold by horses
gakh pha,to stick
gakh pha,to close
giling,a powerful horse with tough and strong body
gik,intention to go
gik,would be done
gil ba,coquetry
gil ba,show off
gil ba remain dress up or doll up
gis,to butt
gis,to gore
gis kori,all around
gis kori,in all the four direction
gu lab,rose flower
gu lum,scarf
gu lam,cover
guk,flexibility
guk,bend
guk pa,to bend
guk pa,to be flexible
gun,compansation
gun,revenge
gun de,yesterday
gur,a narrow place in mountain from where water flows
gur gur,churning pot
gur gur,blending of tea
gur da lu,yellow damson
gul,snake
gul gul,lazy
gul gul,slow
gul gal,show movement
gul ba,to shake
gus,a lud voice
gus ta ba,to call
ge,which one
ge,whome
ge re,where is it
gegs,resistance
gegs,stop
gegs,hindrances
gel pa,branches
gvek,will go
gve kha byung ma,impose on someone's kindness
gve kha byung ma,be spoilt
gveng khor ba,head to be in whirl
gveng gang yod pa,cool headed
gven,while going
go,head
go,headman
go,which one
go,who
go,leader
go kar pho,one with white head
go kal ba,to place the head
go skal,share of a person according to his rank
go kha,a seat near fire place
go khang,arsenal
go khan,one who goes
go kha maru,while leaving
go kha maru,at the time of departure
go khrags pa,stubborn
go khrab,steel helmet
go khrwa,to wash head
go khol,headache
go khor,suffer from vertigo
go gul ba,shivering of head
go gul ba,palsy
go go,who all
go gostong,bareheaded
go rgyal,obstinacy
go rgyal,disobedience
go rgyal,mutiny
go rgyal,deviation
go rgyal chan,obstinate
go rgyal chan,disobedient
go cha,ready to leave
go cha,ready to leave
go chas,imminent
go chaq,with full attention
go chha,armour
go chhaq,broken headed
go chhogho,lrage headed
go jur,long head
go jur,fear of leaving
go juk,dislike
go juk,disapprove
go tyang ma,be prepared to fight
go tab,early sowing
go ting,epidemic of headache
go ting,hateful person
go tik tang se duk pa,to sit in consultation
go ltap,plunge into water
go ltap,to dip head into water
go thab,head long collision
go thab,hunters carefulness
go thik,estimate
go thik,idea of leaving
go thu nu,hang down one's head in shame
go thur,leather headgear of horses
go thus,head down
go thu ru,head over heels
go thu ru gva,to submit
go thu ru gva,to be ashamed
go thos,aged
go thos,holyman
go rdung ma,beat the head
go nad,disease of head
go naq,black headed
go pa,leader
go pa,commander
go pa,first
go pa,in front
go pi,olden days
go pi,ancient time
go pi,of the leader
go spu,hair of head
go spur,entangled head
go spu thab,plucking of hair during scuffle
go pong,leaders
go pong,of early ages
go piyung,fore fathers
go piyung,old people of the past
go phaq,skul
go phaq skol ba,to lament
go phang,waveing of hair while dancing 
go phla,braide
go phlas,to interweaven the hair
go phit,quarreling women
go phit,plucking of hair while quarreling
go phi la,for whome
go phur,drive nail in order to make wooden handle of various tools firm
go phet,half headed
go phet la tshha,mirgrain
go photo,skul
go phor,stumble
go phor,slip
go phor,also go hor
go phor phoq pa,suffer reverses
go phor phoq pa,have hard time
go phoq,solitude
go phoq,keep aloof
go phoq pa,running away of hunt after getting inkling of hunter
go phoq la,remain aloof
go phoq la,loiter alone
go bu,first born
go braq pa,to get one's head shaved
go braq pa,hair cut
go ma,first
go ma,foremost
go ma go,first of all
go moroq,dry tip of tree
go rmoq,self
go tsa raq,unbearable
go tsa raq,hateful
go tshhags,milky way
go zing,scatteredhair
go zu,warm caap
go zum,false preparation to move
go ing khor ba,suffer from vertigo
go e,of head
go yar mi gwa,no elevation
go yar mi gwa,no promotion
go yong,dizziness
go ra,got late
go ral,hair of the head
go ri,head of the marriage pocession
go rin,headmoney
go rin,reward
go rin,robe of honour
go rus,bone of head
go re,of late
go re,after passage of time
go red,being late
go ring,coot
go roq,round headed walking stick
go roq zar bu,tedpool
go la,to whome
go la,cannon ball
go la,shell
go la,artillery
go la,ammunition
go lam,passage
go lam,parting of hair in the middle
go ltsang ma,to raise the head
go li,bullet
go li,gun shot
go li,tablet
go lo,a dice of round pebble
go long,mad
go sha,meat of the head of slaughtered animal
go shang,unwise
go shang,idiot
go sa ong sa,passage for coming and going
go ser pho,one with golden hair
go hi,external
go hi,foreigner
go hyoq pa,to cover head with scarf
go hyoq pa,funeral
go khlod gwa,to lose the head
gong kal,extra load
gong skya,fresh
gong skya,pure
gong cho ro,hairdo on forehead
gong phin,twilight
gong phin,evening
gong phini,in the evening
gong pho,epilepsy
gong pho,fits
gong ma,upper
gong ma,high
gong ma,above
gong mo,a partridge of height
gong tsa,little up
gong tsa re,a little up
gong rtsa,collar
gong zar,evening meals
gong zar,dinner
got gva,to die
got pa,to be lost
got pa,to expire
got byung ma,to die
got byung ma,to pass away
god,loss
god pa,to gather
ghon,melon
gon thaq,early evening
gon theb,extra wearing of clothes
gon chas,dress
gon chas,clothing
gon chas khrwa,washing clothes
gon pa,worshipping plave of buddists
gon ma,to dress up
gon ma,to wear
chhud pa,to be much pleased
gon mo,shirt
gom,stairs
gom,hole
gom chhong,every step a jump
gom thang,full of holes
gom thal,unusual action
gom pa,doorkeeper
gom pa,guard
gom pa,headman
gom pi khuru,doorkeeper
gom ba,step
gom ba gang,distance of one step
gom rtes,foot distance
gor,late
gor ba,to be late
gor chuk pa,to be delayed
gor mo,round
gos,woolen strip
gos tong,bareheaded
gos ni,want to go
goq,peel off
goq pa,to separate
gokh yor,stupid
gya ri,a mountain
gyat pa,make a land habitable
gyat pa,to look after
gyat gyot,doubtful
gyat gyot,uncertain
gyan,height
gyan,elevation
gyan tsa,bit above
gyan tsa re,little above
gyan la,above
gyan ltar,above
gyab stat pa,to turn back
gyab stat pa,to run away
gyab stat pa,to turn tail
gyal ba,to spread out
gyal lta,wild bush
gyas pa,to be fed up with
gyuk pa,to run
gyur ba,sale
gyur ba,to die
gyen,up
gyed pa,to bring land under cultivation
gyot pa,repent
gyot pa,regretful
gyot med,no regrets
gyos po,father in law
gyokh gyokh,to take lead
gyokh pa,early in the morning
gyokh pa gong phin,everytime
gyokh pi zan,morning meal
gyokh pi kha bor,breakfast
gyokh tsari,early morning
gyoq,behind
gyod,back
gyod la,towards back
gyod se,take the initiative
gra,goitre
gra,penalty
gra,compansation
gra,rsnsom
gra khyong,harmful
gra khyong,one who is harmful
gra ti,plate
gra ti,dish
grags chan,famous
grang,coldness
grang pha,to feel cold
grang jur,fear of cold
grang lhab,wave of cold
grang ma,being cold
grang wakh,being cold
grangs,caught cold
grab,commonsense
grab chan,wise
grab shat,complain
gran za,be jealous
gran za bya,to be jealous
gral chan,administor
gral chan,manager
gral bya,to administer
gral bya,to arrange
gral med,mismanagement
grakh pha,mutual consultation
grakh mo,cold
grakh mo,chill
grakh rmit,to swallow something without chewing
grakh se,with consultation
grva,angle
grva,corner
grva khang,school building
grva pa,scholer
grva pon,school master
grva phrug,school boy
grva phrug,student
grva,school
gri,knife
gri kha,on the edge of knife
gri ma,to join togather
gri ma,to get together
gri murik,dagger
gri ltaq,back of knife
grikh,to join
grikh,to fill in the right place
grikh grikh,mutual understanding
grikh chuk,put it correct
grikh pa,be joined
grikh pa,to understand
grib,shade
grib,shadow
grib,inkling
grim,twist
grim,spasm
grim tang ma,to weave
grim tang ma,to twist
grim tang ma,to spoil work
grim phaq,shadow
grim tse,a pair of scissors
gril ba,to gather at a place
gril ba,to mix togather
gru,boat
gruba,to misapproprite
grub,received
gre,black pea
gre,black beans
gre ba,front part of neck
gre mo,elbow
gre o,pea
gren ma,to tease
gren ma,to vex
kro,wheat
grong,village
grong,town
grong chhal,collective penalty of a group
grong tukh,reponsibility of the village
grong pa,peasant
grong pa,villager
grong mi,villager
grong po,village
grong po,headman
grong phes,expatriate from village
grong ghdan,boundry of the village
grong las,cooperative
krod pa,stomach
gron,feast
gron khang,guest house
gron chan,suffering
gron chan,loss
gron chan,harmful
gron pa,guest
gron bya,to arrange feast
gron med,unharmful
gron zan,banquet
grol ba,to slacken
gros,enthusiasm
gros,courage
